CampaignID,CustomerID,Channel,Campaign,CampaignDate,Response
MKT0000001,CUST047320,Email,Summer Sale,20-02-2024,Converted
MKT0000002,CUST012852,SMS,New Launch,05-05-2024,Ignored
MKT0000003,CUST024752,Instagram,Summer Sale,10-08-2024,Opened
MKT0000004,CUST035738,Facebook,New Launch,02-05-2024,Clicked
MKT0000005,CUST027082,Instagram,Summer Sale,23-02-2024,Converted
MKT0000006,CUST018943,Facebook,New Launch,29-04-2025,Clicked
MKT0000007,CUST036482,Google Ads,Cashback,24-05-2025,Converted
MKT0000008,CUST048251,Instagram,Festival,19-07-2025,Opened
MKT0000009,CUST010917,SMS,Cashback,28-09-2024,Clicked
MKT0000010,CUST049800,Instagram,Summer Sale,21-04-2024,Converted
MKT0000011,CUST043582,Google Ads,Summer Sale,02-05-2025,Converted
MKT0000012,CUST014383,Instagram,Summer Sale,06-11-2025,Converted
MKT0000013,CUST001667,Google Ads,Festival,10-05-2025,Converted
MKT0000014,CUST019822,Google Ads,Festival,20-08-2025,Ignored
MKT0000015,CUST021781,SMS,Festival,01-05-2025,Clicked
MKT0000016,CUST007941,SMS,Summer Sale,13-02-2024,Ignored
MKT0000017,CUST016421,Google Ads,New Launch,26-06-2024,Converted
MKT0000018,CUST032272,SMS,New Launch,19-09-2024,Opened
MKT0000019,CUST034745,Email,New Launch,09-01-2025,Clicked
MKT0000020,CUST002583,SMS,New Launch,09-01-2024,Opened
MKT0000021,CUST001225,Email,Festival,01-03-2025,Opened
MKT0000022,CUST024197,Email,Festival,22-05-2024,Clicked
MKT0000023,CUST033578,SMS,New Launch,09-11-2025,Clicked
MKT0000024,CUST037256,Instagram,New Launch,14-09-2024,Opened
MKT0000025,CUST040682,Email,New Launch,27-09-2025,Ignored
MKT0000026,CUST033406,Facebook,New Launch,13-08-2024,Clicked
MKT0000027,CUST015803,Facebook,Festival,05-08-2025,Opened
MKT0000028,CUST013442,Instagram,New Launch,28-11-2025,Opened
MKT0000029,CUST043412,SMS,Cashback,10-09-2024,Ignored
MKT0000030,CUST041424,SMS,Cashback,02-01-2024,Converted
MKT0000031,CUST026573,Instagram,New Launch,07-11-2025,Opened
MKT0000032,CUST022050,Instagram,New Launch,19-05-2024,Converted
MKT0000033,CUST039931,Email,Festival,24-10-2024,Opened
MKT0000034,CUST031056,Facebook,New Launch,05-09-2024,Ignored
MKT0000035,CUST048372,SMS,New Launch,12-03-2024,Converted
MKT0000036,CUST016530,Instagram,Festival,04-03-2024,Ignored
MKT0000037,CUST049896,Facebook,Festival,01-03-2025,Opened
MKT0000038,CUST045458,Instagram,Cashback,07-10-2024,Clicked
MKT0000039,CUST020865,SMS,Festival,13-02-2025,Clicked
MKT0000040,CUST038932,SMS,New Launch,08-09-2024,Clicked
MKT0000041,CUST017351,Instagram,Summer Sale,04-05-2024,Converted
MKT0000042,CUST016838,SMS,New Launch,09-10-2025,Clicked
MKT0000043,CUST048394,Facebook,Summer Sale,03-07-2025,Converted
MKT0000044,CUST006331,Email,Festival,29-04-2024,Ignored
MKT0000045,CUST037516,Instagram,Summer Sale,28-09-2025,Clicked
MKT0000046,CUST014519,Instagram,Cashback,03-10-2024,Clicked
MKT0000047,CUST019780,Facebook,Summer Sale,08-08-2025,Clicked
MKT0000048,CUST038352,Facebook,Cashback,07-05-2025,Ignored
MKT0000049,CUST036414,Instagram,Cashback,27-10-2024,Opened
MKT0000050,CUST028874,SMS,Cashback,30-09-2025,Converted
MKT0000051,CUST008187,Email,Cashback,25-05-2024,Converted
MKT0000052,CUST008333,Google Ads,Cashback,21-12-2024,Ignored
MKT0000053,CUST008701,Instagram,Festival,13-01-2025,Clicked
MKT0000054,CUST023378,Instagram,Festival,26-03-2024,Converted
MKT0000055,CUST035265,Facebook,New Launch,20-01-2025,Ignored
MKT0000056,CUST016527,Facebook,Summer Sale,12-08-2025,Clicked
MKT0000057,CUST008172,Instagram,New Launch,17-03-2025,Opened
MKT0000058,CUST040649,Google Ads,Festival,23-06-2024,Converted
MKT0000059,CUST043791,Instagram,New Launch,03-11-2025,Clicked
MKT0000060,CUST024374,Facebook,Festival,27-02-2024,Ignored
MKT0000061,CUST007663,SMS,Summer Sale,11-03-2025,Converted
MKT0000062,CUST011394,Email,Festival,11-09-2024,Opened
MKT0000063,CUST042449,SMS,Summer Sale,21-10-2024,Clicked
MKT0000064,CUST040543,Facebook,Cashback,14-05-2024,Clicked
MKT0000065,CUST012073,SMS,New Launch,01-04-2025,Converted
MKT0000066,CUST005460,Google Ads,Cashback,17-07-2025,Converted
MKT0000067,CUST033063,Instagram,Festival,02-10-2024,Converted
MKT0000068,CUST042667,SMS,Festival,06-11-2025,Converted
MKT0000069,CUST021836,Instagram,Summer Sale,20-10-2025,Clicked
MKT0000070,CUST005343,Google Ads,Festival,26-09-2024,Converted
MKT0000071,CUST040238,Facebook,Summer Sale,06-03-2025,Opened
MKT0000072,CUST046363,Instagram,Summer Sale,07-07-2025,Ignored
MKT0000073,CUST000517,Google Ads,Summer Sale,31-10-2024,Ignored
MKT0000074,CUST023874,Email,Cashback,13-06-2025,Converted
MKT0000075,CUST039440,Instagram,Cashback,24-09-2025,Converted
MKT0000076,CUST023593,Google Ads,Cashback,04-04-2024,Ignored
MKT0000077,CUST010328,Facebook,Festival,15-07-2025,Converted
