TicketID,CustomerID,IssueType,Status,Priority,CreatedDate,ResolutionDays
TKT0000001,CUST008048,Refund,Pending,Medium,26-04-2025,12
TKT0000002,CUST032733,Damaged Product,Pending,Medium,27-11-2024,7
TKT0000003,CUST027726,Payment,Pending,Medium,04-08-2025,11
TKT0000004,CUST003459,Damaged Product,Pending,Low,15-02-2025,7
TKT0000005,CUST023302,Warranty,Closed,Medium,19-01-2024,10
TKT0000006,CUST025128,Refund,Closed,Medium,05-12-2024,5
TKT0000007,CUST007704,Login,Closed,High,04-12-2024,7
TKT0000008,CUST043729,Payment,Resolved,High,29-01-2024,9
TKT0000009,CUST032658,Warranty,Resolved,High,18-03-2024,10
TKT0000010,CUST013059,Damaged Product,Closed,Medium,12-02-2024,14
TKT0000011,CUST029915,Refund,Closed,Medium,10-01-2025,12
TKT0000012,CUST000373,Damaged Product,Closed,Low,30-01-2025,10
TKT0000013,CUST006952,Delivery,Pending,Medium,16-01-2025,6
TKT0000014,CUST016359,Refund,Resolved,Low,20-11-2025,2
TKT0000015,CUST040106,Damaged Product,Pending,High,03-04-2025,10
TKT0000016,CUST007951,Warranty,Closed,High,09-09-2025,15
TKT0000017,CUST029367,Delivery,Closed,Low,19-09-2024,7
TKT0000018,CUST016542,Warranty,Closed,High,15-06-2024,12
TKT0000019,CUST036220,Payment,Resolved,High,07-02-2025,4
TKT0000020,CUST038379,Payment,Open,Low,24-07-2024,12
TKT0000021,CUST022860,Delivery,Resolved,Medium,05-08-2024,6
TKT0000022,CUST002325,Warranty,Resolved,Low,05-07-2024,2
TKT0000023,CUST033909,Damaged Product,Closed,Low,23-01-2025,6
TKT0000024,CUST005689,Delivery,Resolved,Medium,18-08-2025,15
TKT0000025,CUST021205,Payment,Pending,High,07-02-2025,12
TKT0000026,CUST026825,Warranty,Resolved,High,03-08-2024,8
TKT0000027,CUST040827,Refund,Closed,Low,30-09-2024,12
TKT0000028,CUST000556,Refund,Open,Medium,20-02-2025,9
TKT0000029,CUST015063,Warranty,Open,Medium,04-06-2025,13
