TransactionID,CustomerID,Product,Quantity,UnitPrice,TotalAmount,PaymentMethod,TransactionDate
TXN0000001,CUST043813,Printer,3,56667,170001,NetBanking,21-01-2024
TXN0000002,CUST004261,Keyboard,4,69807,279228,Cash,20-03-2024
TXN0000003,CUST008647,Keyboard,2,47383,94766,Cash,17-08-2024
TXN0000004,CUST049817,Printer,5,31594,157970,UPI,18-09-2025
TXN0000005,CUST015952,Monitor,5,23699,118495,Cash,03-12-2024
TXN0000006,CUST000086,Keyboard,4,89220,356880,NetBanking,06-01-2025
TXN0000007,CUST043300,Monitor,4,82034,328136,Card,21-09-2024
TXN0000008,CUST036117,Mouse,5,41878,209390,Card,24-02-2024
TXN0000009,CUST046052,Mouse,5,87773,438865,Cash,11-07-2024
TXN0000010,CUST008284,Headphones,4,18019,72076,Cash,30-06-2024
TXN0000011,CUST022907,Tablet,1,52830,52830,NetBanking,16-09-2025
TXN0000012,CUST002023,Keyboard,1,51461,51461,UPI,27-01-2024
TXN0000013,CUST003070,Monitor,3,45203,135609,NetBanking,04-02-2024
TXN0000014,CUST047959,Keyboard,5,52871,264355,UPI,23-10-2024
TXN0000015,CUST039327,Keyboard,2,62732,125464,UPI,17-07-2025
TXN0000016,CUST036128,Printer,2,46211,92422,UPI,04-09-2025
TXN0000017,CUST030894,Phone,1,19341,19341,Cash,04-06-2024
TXN0000018,CUST020733,Mouse,4,55900,223600,Card,16-07-2024
TXN0000019,CUST010251,Tablet,1,13761,13761,UPI,10-06-2024
TXN0000020,CUST014186,Headphones,1,19337,19337,Card,21-11-2024
TXN0000021,CUST004211,Printer,1,17132,17132,Card,17-03-2024
TXN0000022,CUST031821,Monitor,5,33988,169940,Cash,12-03-2025
TXN0000023,CUST018713,Laptop,4,69621,278484,NetBanking,26-06-2025
TXN0000024,CUST030095,Tablet,3,46056,138168,UPI,13-01-2025
TXN0000025,CUST039259,Monitor,3,34681,104043,Card,07-11-2024
TXN0000026,CUST043771,Mouse,3,26513,79539,Card,26-10-2025
TXN0000027,CUST020531,Monitor,4,83345,333380,Cash,01-02-2024
TXN0000028,CUST044417,Keyboard,3,33997,101991,NetBanking,18-12-2024
TXN0000029,CUST043774,Tablet,5,47378,236890,Card,13-11-2024
TXN0000030,CUST015890,Monitor,4,10445,41780,NetBanking,01-07-2025
TXN0000031,CUST037356,Keyboard,5,6366,31830,NetBanking,19-10-2025
TXN0000032,CUST032604,Keyboard,1,87157,87157,Card,23-03-2025
TXN0000033,CUST046483,Monitor,2,46139,92278,NetBanking,26-04-2024
TXN0000034,CUST042606,Laptop,1,23332,23332,NetBanking,27-12-2024
TXN0000035,CUST024424,Laptop,5,45930,229650,UPI,01-09-2025
TXN0000036,CUST035358,Headphones,5,72776,363880,Card,29-10-2025
TXN0000037,CUST038065,Keyboard,3,56499,169497,Cash,03-01-2024
TXN0000038,CUST008551,Monitor,3,9358,28074,Card,04-05-2025
TXN0000039,CUST004182,Keyboard,5,13458,67290,Cash,10-06-2025
TXN0000040,CUST045584,Headphones,2,43992,87984,NetBanking,20-01-2025
TXN0000041,CUST012548,Laptop,4,7074,28296,Card,20-07-2025
TXN0000042,CUST041166,Tablet,2,15045,30090,Card,28-07-2025
TXN0000043,CUST003095,Headphones,5,63444,317220,Cash,25-09-2025
TXN0000044,CUST003127,Headphones,1,57389,57389,Card,07-09-2024
TXN0000045,CUST001973,Printer,5,9567,47835,Cash,24-09-2025
TXN0000046,CUST002524,Tablet,1,10911,10911,NetBanking,16-04-2024
TXN0000047,CUST007892,Headphones,1,87338,87338,Card,12-09-2025
TXN0000048,CUST032035,Keyboard,4,5813,23252,UPI,19-01-2025
TXN0000049,CUST032524,Tablet,3,45954,137862,NetBanking,10-06-2025
TXN0000050,CUST013882,Monitor,3,84895,254685,UPI,24-09-2024
TXN0000051,CUST022313,Laptop,5,60346,301730,Cash,30-09-2025
TXN0000052,CUST044306,Phone,3,39489,118467,Cash,25-07-2025
TXN0000053,CUST024917,Laptop,2,49947,99894,Card,09-01-2025
TXN0000054,CUST040275,Phone,2,6133,12266,UPI,23-12-2024
TXN0000055,CUST038603,Headphones,4,25589,102356,Cash,09-03-2025
TXN0000056,CUST021392,Laptop,2,6442,12884,UPI,04-10-2025
TXN0000057,CUST002889,Monitor,3,86609,259827,Cash,19-02-2024
TXN0000058,CUST018378,Mouse,4,70764,283056,UPI,19-09-2025
TXN0000059,CUST019866,Headphones,5,74307,371535,Cash,22-03-2025
TXN0000060,CUST040338,Laptop,2,71652,143304,Cash,29-10-2024
TXN0000061,CUST009555,Printer,2,79572,159144,UPI,10-09-2024
TXN0000062,CUST013365,Keyboard,3,87712,263136,Card,17-10-2024
TXN0000063,CUST040876,Tablet,2,33821,67642,UPI,09-04-2024
TXN0000064,CUST036774,Laptop,4,9975,39900,Card,26-03-2024
TXN0000065,CUST047973,Mouse,5,41638,208190,Cash,26-08-2024
TXN0000066,CUST029233,Keyboard,5,4003,20015,Cash,17-09-2025
TXN0000067,CUST008963,Keyboard,5,41574,207870,Card,02-04-2024
TXN0000068,CUST025128,Tablet,3,76992,230976,Card,28-04-2024
TXN0000069,CUST049455,Keyboard,1,18877,18877,Cash,08-03-2025
TXN0000070,CUST029487,Tablet,3,61200,183600,UPI,27-11-2025
TXN0000071,CUST009023,Laptop,5,2789,13945,NetBanking,19-02-2025
TXN0000072,CUST027438,Tablet,1,75478,75478,Cash,19-06-2025
TXN0000073,CUST001677,Keyboard,3,5948,17844,Card,27-05-2025
TXN0000074,CUST020006,Monitor,3,13473,40419,Cash,30-10-2024
TXN0000075,CUST037550,Laptop,2,23973,47946,Cash,25-12-2024
TXN0000076,CUST004157,Tablet,5,28066,140330,NetBanking,15-09-2024
TXN0000077,CUST028931,Headphones,1,76771,76771,NetBanking,05-06-2024
